Number,Start date,Start station number,Start station,End date,End station number,End station,Bike number,Bike model,Total duration,Total duration (ms)
132825362,08/01/2023 01:00,3445,"Shoreditch High Street, Shoreditch",08/01/2023 01:06,200042,"York Hall, Bethnal Green",52212,CLASSIC,6m 43s,403970
132825363,08/01/2023 01:00,1100444,"Strand, Strand_OLD",08/01/2023 01:21,300235,"York Way, Kings Cross",21746,CLASSIC,20m 34s,1234320
132825364,08/01/2023 01:00,200102,"Harford Street, Mile End",08/01/2023 01:12,200089,"Chrisp Street Market, Poplar",57910,CLASSIC,11m 57s,717278
132825365,08/01/2023 01:01,200161,"Clinton Road, Mile End",08/01/2023 01:09,200148,"Ansell House, Stepney",23963,CLASSIC,7m 14s,434384
132825366,08/01/2023 01:02,200144,"Sea Containers, South Bank",08/01/2023 01:17,200084,"Doddington Grove, Kennington",58873,CLASSIC,15m 7s,907316
132825367,08/01/2023 01:02,200089,"Chrisp Street Market, Poplar",08/01/2023 01:12,200082,"St. Mary & St. Michael Church, Stepney",60543,PBSC_EBIKE,9m 50s,590679
132825368,08/01/2023 01:02,200144,"Sea Containers, South Bank",08/01/2023 01:20,300063,"Burgess Park Albany Road, Walworth",56317,CLASSIC,17m 16s,1036958
132825369,08/01/2023 01:02,200144,"Sea Containers, South Bank",08/01/2023 01:17,200084,"Doddington Grove, Kennington",56188,CLASSIC,14m 42s,882020
132825370,08/01/2023 01:03,300068,"Humbolt Road, Fulham",08/01/2023 01:05,300018,"Charing Cross Hospital, Hammersmith",56142,CLASSIC,2m 49s,169572
132825371,08/01/2023 01:03,200144,"Sea Containers, South Bank",08/01/2023 01:17,200084,"Doddington Grove, Kennington",51947,CLASSIC,14m 12s,852388
132825372,08/01/2023 01:04,200163,"Jubilee Plaza, Canary Wharf",08/01/2023 01:17,22166,"Albert Gardens, Stepney",51807,CLASSIC,12m 16s,736099
132825373,08/01/2023 01:05,1004,"Doric Way , Somers Town",08/01/2023 01:16,200051,"Percival Street, Finsbury",54628,CLASSIC,11m 45s,705397
132825374,08/01/2023 01:05,200011,"Furze Green, Bow",08/01/2023 01:25,200212,"Blackfriars Station, St. Paul's",57646,CLASSIC,19m 24s,1164200
132825375,08/01/2023 01:05,200156,"Pott Street, Bethnal Green",08/01/2023 01:14,300056,"Mile End Stadium, Mile End",56729,CLASSIC,8m 58s,538851
132825376,08/01/2023 01:05,1104,"Claremont Square, Angel",08/01/2023 01:18,1151,"Whitehall Place, Strand",60553,PBSC_EBIKE,12m 16s,736643
132825377,08/01/2023 01:06,200038,"Ackroyd Drive, Bow",08/01/2023 01:12,200019,"Malmesbury Road, Bow",55075,CLASSIC,5m 58s,358532
132825378,08/01/2023 01:06,1179,"Chelsea Green, Chelsea",08/01/2023 01:24,3492,"Putney Pier, Wandsworth",51665,CLASSIC,17m 27s,1047700
132825379,08/01/2023 01:06,1050,"Park Road (Baker Street), The Regent's Park",08/01/2023 01:10,200134,"Albany Street, The Regent's Park",58855,CLASSIC,4m 20s,260600
132825380,08/01/2023 01:06,300058,"The Vale, Chelsea",08/01/2023 01:24,200153,"Blythe Road, Olympia",58332,CLASSIC,18m 4s,1084804
132825381,08/01/2023 01:06,1104,"Claremont Square, Angel",08/01/2023 01:18,1151,"Whitehall Place, Strand",60442,PBSC_EBIKE,11m 13s,673239
132825382,08/01/2023 01:07,1154,"Kennington Road  , Vauxhall",08/01/2023 01:24,1135,"Claverton Street, Pimlico",22522,CLASSIC,17m 5s,1025020
132825383,08/01/2023 01:07,1154,"Kennington Road  , Vauxhall",08/01/2023 01:21,965,"Tachbrook Street, Victoria",58155,CLASSIC,14m 9s,849996
132825384,08/01/2023 01:07,200034,"Wapping Lane, Wapping",08/01/2023 01:34,1191,"Barbican Centre, Barbican",59653,CLASSIC,27m 10s,1630411
132825386,08/01/2023 01:07,997,"Worship Street, Shoreditch",08/01/2023 01:15,1051,"Shoreditch Park, Hoxton",16358,CLASSIC,8m 16s,496598
132825387,08/01/2023 01:07,1154,"Kennington Road  , Vauxhall",08/01/2023 01:18,1155,"Regency Street, Westminster",56822,CLASSIC,10m 11s,611105
132825388,08/01/2023 01:08,200058,"Northdown Street, King's Cross",08/01/2023 01:10,3470,"Great Percy Street, Clerkenwell",55477,CLASSIC,2m 41s,161307
132825389,08/01/2023 01:10,1038,"Harrington Square 1, Camden Town",08/01/2023 01:22,1058,"Edgware Road Station, Marylebone",52647,CLASSIC,12m 29s,749192
132825391,08/01/2023 01:11,1097,"Northumberland Avenue, Strand",08/01/2023 01:32,1171,"New Road 1 , Whitechapel",57792,CLASSIC,21m 6s,1266446
132825390,08/01/2023 01:11,300077,"Ingrave Street, Clapham Junction",08/01/2023 01:19,200079,"Ram Street, Wandsworth",52434,CLASSIC,8m 13s,493688
132825393,08/01/2023 01:12,22163,"Southwark Station 2, Southwark",08/01/2023 01:22,200084,"Doddington Grove, Kennington",55025,CLASSIC,10m 1s,601176
132825392,08/01/2023 01:12,1097,"Northumberland Avenue, Strand",08/01/2023 01:32,1171,"New Road 1 , Whitechapel",54931,CLASSIC,20m 36s,1236838
132825394,08/01/2023 01:13,300091,"Hortensia Road, West Brompton",08/01/2023 01:44,3496,"St Mary's Hospital, Paddington",59458,CLASSIC,30m 57s,1857717
132825395,08/01/2023 01:13,200011,"Furze Green, Bow",08/01/2023 01:22,200161,"Clinton Road, Mile End",23031,CLASSIC,9m 15s,555829
132825396,08/01/2023 01:13,200227,"Westfield Library Corner, Shepherd's Bush",08/01/2023 01:24,300023,"All Saints Church, Portobello",59409,CLASSIC,10m 51s,651177
132825397,08/01/2023 01:13,200011,"Furze Green, Bow",08/01/2023 01:22,200161,"Clinton Road, Mile End",53064,CLASSIC,9m 4s,544119
132825398,08/01/2023 01:13,200011,"Furze Green, Bow",08/01/2023 01:22,200161,"Clinton Road, Mile End",40583,CLASSIC,8m 31s,511608
132825399,08/01/2023 01:13,200206,"Chicheley Street, South Bank",08/01/2023 02:00,3457,"Rochester Row, Westminster",59397,CLASSIC,46m 6s,2766055
132825400,08/01/2023 01:15,3504,"Moor Street, Soho",08/01/2023 01:23,1003,"Chapel Place, Marylebone",23190,CLASSIC,8m 27s,507236
132825401,08/01/2023 01:15,200206,"Chicheley Street, South Bank",08/01/2023 02:00,3457,"Rochester Row, Westminster",53399,CLASSIC,44m 58s,2698272
132825402,08/01/2023 01:16,1190,"Kennington Lane Rail Bridge, Vauxhall",08/01/2023 01:36,300070,"Imperial Wharf Station, Sands End",23069,CLASSIC,19m 41s,1181116
132825403,08/01/2023 01:17,3452,"Panton Street, West End",08/01/2023 01:40,1117,"Lambeth North Station, Waterloo",15047,CLASSIC,22m 33s,1353755
132825404,08/01/2023 01:17,300079,"London Street, Paddington",08/01/2023 01:19,3496,"St Mary's Hospital, Paddington",24069,CLASSIC,2m 6s,126812
132825405,08/01/2023 01:17,3452,"Panton Street, West End",08/01/2023 01:40,1117,"Lambeth North Station, Waterloo",58015,CLASSIC,22m 9s,1329255
132825406,08/01/2023 01:18,200098,"Aintree Street, Fulham",08/01/2023 01:31,200214,"Woodstock Grove, Shepherd's Bush",59189,CLASSIC,12m 45s,765295
132825407,08/01/2023 01:19,1010,"Cartwright Gardens , Bloomsbury",08/01/2023 01:22,969,"Gower Place , Euston",52525,CLASSIC,3m 14s,194335
